x1,x2,x3,w1,w2,w3,m1,m2,m3,y1,y2,y3,y4,y5,y6,y7,y8,y9,SAL,sprom1,sprom2,sprom3,perfev,leader
2,2,2,6,6,6,6,6,3,6,6,6,6,6,6,6,6,4,0,6,5,6,3,212
1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,5,0,7,7,7,2,212
1,1,1,6,6,6,1,1,2,6,6,6,6,6,6,5,4,2,0,7,2,5,2,223
4,5,4,7,6,7,2,2,2,6,4,6,6,6,6,5,6,2,0,6,2,2,2,248
6,7,6,1,1,1,6,6,6,6,6,6,6,6,6,7,7,4,0,7,7,7,2,248
1,1,3,7,7,7,4,3,2,7,7,7,6,7,6,6,6,6,7.29,7,6,6,2,252
1,1,1,7,7,7,1,1,2,4,5,4,6,5,6,6,4,3,0,6,6,6,2,254
4,4,5,6,6,6,4,4,4,5,5,5,6,6,6,6,6,5,0,6,6,6,2,256
5,3,6,6,6,6,3,4,3,5,5,6,6,5,5,6,6,4,0,6,3,5,2,256
5,3,5,6,6,6,5,5,3,6,6,6,5,5,3,5,6,5,10.74,7,6,6,2,258
2,2,2,6,6,6,3,3,3,7,7,6,5,6,5,5,5,4,0,6,4,6,2,258
6,6,4,5,3,5,5,6,5,6,7,6,6,7,6,4,6,2,0,6,4,7,2,259
1,1,2,6,6,7,2,2,3,5,5,5,4,5,4,5,4,3,0,4,1,3,2,260
1,2,1,7,7,7,2,2,1,6,6,6,6,6,6,5,6,5,0,6,5,6,2,260
5,4,5,2,3,2,6,6,5,4,3,3,4,5,3,3,3,3,0,5,3,4,2,266
2,2,2,7,7,7,2,2,2,7,7,7,7,7,6,6,5,4,0,7,5,6,2,266
